fichier,page,nom_fournisseur,numero_facture,numero_client_marsa,date_facture,periode_facturation,prix_ht,montant,confiance_moyenne
facture ADSL mois 12 2023.pdf,0,MAROC TELECOM,069666413480000,5.11104.00.00.100006,05/01/2024,01/12/2023 - 31/12/2023,601.2,721.44,0.73
facture ADSL mois 12 2023.pdf,1,MAROC TELECOM,0000405866012024,7.2571863.16,01/01/2024,Décembre 2023,2115.0,2538.01,0.74
Facture internet mobile.pdf,0,MAROC TELECOM,0000012064022024,5.11104.00.00.100006,05/02/2024,01/01/2024 - 31/01/2024,165.83,199.0,0.73
facture VPN mois 12 2023.pdf,0,MAROC TELECOM,0000091918012024,7.1186404.00.00.100438,01/01/2024,Décembre 2023,6303.0,7563.6,0.68
facture_adsl et dir.pdf,0,MAROC TELECOM,0000169630082024,7.2571863.16,01/08/2024,Juillet 2024,1948.33,2338.0,0.74
facture_adsl et dir.pdf,1,MAROC TELECOM,0000219907082024,5.11104.00.00.100006,07/08/2024,01/07/2024 - 31/07/2024,165.83,199.0,0.67
facture_ADSL.pdf,0,MAROC TELECOM,0000010146022024,,01/02/2024,Janvier 2024,1948.33,,0.66
facture_adsl_1.pdf,0,MAROC TELECOM,0000076794032024,,01/03/2024,Février 2024,416.67,500.0,0.82
facture_adsl_1.pdf,1,MAROC TELECOM,0000076778032024,7.2571863.16.00.100002,01/03/2024,Février 2024,532.5,639.0,0.81
facture_adsl_1.pdf,2,MAROC TELECOM,0000076792032024,7.2571863.16.00.100000,01/03/2024,Février 2024,833.33,1000.0,0.79
facture_adsl_1.pdf,3,MAROC TELECOM,0000076782032024,7.2571863.16.00.100001,01/03/2024,Février 2024,165.83,199.0,0.76
facture_adsl_1.pdf,4,MAROC TELECOM,0000011333032024,5.11104.00.00.100006,07/03/2024,01/02/2024 - 29/02/2024,165.83,199.0,0.7
facture_adsl_2.pdf,0,MAROC TELECOM,0000012544042024,5.11104.00.00.100006,04/04/2024,31/03/2024 - 01/04/2024,165.83,199.0,0.67
facture_adsl_2.pdf,1,MAROC TELECOM,0000009661042024,,01/04/2024,Mars 2024,1948.33,,0.61
facture_TELEPHONE.pdf,0,MAROC TELECOM,0000010143022024,,01/02/2024,Janvier 2024,1872.76,,0.71
facture_telephonie.pdf,0,MAROC TELECOM,0000009401032024,7.2571863.15,01/03/2024,Février 2024,1850.4,2220.48,0.75
facture_TELEPHONIE_1.pdf,0,MAROC TELECOM,0000009656042024,,01/04/2024,Mars 2024,,2131.07,0.5
facture_telephonie_2.pdf,0,MAROC TELECOM,0000169627082024,7.2571863.15,01/08/2024,Juillet 2024,936.84,2324.2,0.75
facture_VPN.pdf,0,MAROC TELECOM,0000105827022024,,01/02/2024,Janvier 2024,6303.0,7563.6,0.69
fac_dir.pdf,0,MAROC TELECOM,0000245980022026,5.11104.00.00.100006,07/02/2026,01/01/2026 - 31/01/2026,165.83,199.0,0.68
Fac_vpn.pdf,0,ITISSALAT AL-MAGHRIB,0001667549022026,7.1186404.00.00.100438,01/02/2026,Janvier 2026,6303.0,7563.6,0.65
